iter	Passed	Remaining
478	646	703
479	647	701
480	648	699
481	648	697
482	649	695
483	650	693
484	651	691
485	652	689
486	653	688
487	654	686
488	655	684
489	656	683
490	657	681
491	658	679
492	659	677
493	660	676
494	660	674
495	661	672
496	662	670
497	663	668
498	664	666
499	665	665
500	665	663
501	666	661
502	667	659
503	668	658
504	670	656
505	672	656
506	673	654
507	674	652
508	675	651
509	676	649
510	677	647
511	677	646
512	678	644
513	679	642
514	680	640
515	681	639
516	682	637
517	682	635
518	683	633
519	685	632
520	686	631
521	687	629
522	688	628
523	689	626
524	690	624
525	691	623
526	692	621
527	693	619
528	694	617
529	694	616
530	695	614
531	696	612
532	697	610
533	698	609
534	699	607
535	700	606
536	701	604
537	702	603
538	703	601
539	704	600
540	705	598
541	706	596
542	707	595
543	708	593
544	709	591
545	709	590
546	710	588
547	711	586
548	712	585
549	713	583
550	714	581
551	715	580
552	716	579
553	717	577
554	718	575
555	719	574
556	719	572
557	720	570
558	721	569
559	722	567
560	723	565
561	724	564
562	724	562
563	725	561
564	726	559
565	727	557
566	728	556
567	729	554
568	730	553
569	731	552
570	732	550
571	733	549
572	734	547
573	735	545
574	736	544
575	737	542
576	738	541
577	738	539
578	739	537
579	740	536
580	741	534
581	742	533
582	743	531
583	744	530
584	745	529
585	747	527
586	748	526
587	748	524
588	749	523
589	750	521
590	751	520
591	752	518
592	753	517
593	754	515
594	755	514
595	756	512
596	756	510
597	757	509
598	758	507
599	760	506
600	761	505
601	762	503
602	763	502
603	763	500
604	764	499
605	765	497
606	766	496
607	767	494
608	768	493
609	769	491
610	769	490
611	770	488
612	771	487
613	772	485
614	773	484
615	775	483
616	776	482
617	778	480
618	781	480
619	782	479
620	783	478
621	784	476
622	786	475
623	787	474
624	788	472
625	789	471
626	790	470
627	792	469
628	793	467
629	794	466
630	795	465
631	796	463
632	797	462
633	798	460
634	799	459
635	800	458
636	801	456
637	802	455
638	803	454
639	805	453
640	806	451
641	808	450
642	810	449
643	811	448
644	812	447
645	813	445
646	814	444
647	815	443
648	817	441
649	818	440
650	819	439
651	820	438
652	822	437
653	824	436
654	825	434
655	826	433
656	827	432
657	828	430
658	830	429
659	831	428
660	832	426
661	833	425
662	834	424
663	836	423
664	837	421
665	838	420
666	840	419
667	841	418
668	842	416
669	843	415
670	844	414
671	846	413
672	847	411
673	848	410
674	850	409
675	851	408
676	853	407
677	855	406
678	856	404
679	857	403
680	858	402
681	859	400
682	861	399
683	863	399
684	864	397
685	865	396
686	866	394
687	867	393
688	868	392
689	869	390
690	870	389
691	871	388
692	872	386
693	873	385
694	875	384
695	881	384
696	883	383
697	884	382
698	885	381
699	886	379
700	887	378
701	888	377
702	890	376
703	891	374
704	893	374
705	895	372
706	897	371
707	898	370
708	900	369
709	902	368
710	903	367
711	905	366
712	906	364
713	908	363
714	910	362
715	912	361
716	913	360
717	914	359
718	916	358
719	919	357
720	920	356
721	921	354
722	924	354
723	925	353
724	927	351
725	929	350
726	934	350
727	935	349
728	937	348
729	940	347
730	943	347
731	945	346
732	946	344
733	947	343
734	949	342
735	950	340
736	951	339
737	954	338
738	957	338
739	959	337
740	962	336
741	963	335
742	964	333
743	965	332
744	966	330
745	972	330
746	974	329
747	975	328
748	976	327
749	978	326
750	980	325
751	982	324
752	984	322
753	987	322
754	989	321
755	990	319
756	992	318
757	994	317
758	996	316
759	998	315
760	1001	314
761	1003	313
762	1005	312
763	1006	310
764	1008	309
765	1009	308
766	1011	307
767	1013	306
768	1015	305
769	1018	304
770	1019	302
771	1020	301
772	1022	300
773	1024	299
774	1027	298
775	1030	297
776	1034	296
777	1035	295
778	1037	294
779	1038	292
780	1040	291
781	1043	290
782	1046	290
783	1049	289
784	1050	287
785	1052	286
786	1054	285
787	1057	284
788	1061	283
789	1062	282
790	1064	281
791	1065	279
792	1066	278
793	1068	277
794	1069	275
795	1070	274
796	1071	272
797	1073	271
798	1076	270
799	1077	269
800	1079	268
801	1080	266
802	1081	265
803	1083	264
804	1084	262
805	1085	261
806	1088	260
807	1090	259
808	1092	257
809	1093	256
810	1094	255
811	1095	253
812	1097	252
813	1098	250
814	1099	249
815	1100	248
816	1101	246
817	1102	245
818	1104	244
819	1105	242
820	1107	241
821	1108	239
822	1109	238
823	1110	237
824	1111	235
825	1112	234
826	1113	232
827	1114	231
828	1115	230
829	1117	228
830	1118	227
831	1120	226
832	1121	224
833	1122	223
834	1123	222
835	1124	220
836	1125	219
837	1126	217
838	1127	216
839	1128	214
840	1129	213
841	1130	212
842	1133	211
843	1134	209
844	1135	208
845	1136	206
846	1137	205
847	1138	204
848	1139	202
849	1140	201
850	1141	199
851	1142	198
852	1143	197
853	1144	195
854	1145	194
855	1147	193
856	1149	191
857	1150	190
858	1151	189
859	1152	187
860	1153	186
861	1154	184
862	1155	183
863	1156	182
864	1157	180
865	1158	179
866	1159	177
867	1160	176
868	1161	175
869	1163	173
870	1164	172
871	1165	171
872	1166	169
873	1167	168
874	1168	166
875	1169	165
876	1170	164
877	1171	162
878	1172	161
879	1173	159
880	1174	158
881	1175	157
882	1176	155
883	1178	154
884	1179	153
885	1180	151
886	1181	150
887	1182	149
888	1183	147
889	1184	146
890	1185	145
891	1186	143
892	1187	142
893	1188	140
894	1189	139
895	1190	138
896	1192	136
897	1193	135
898	1194	134
899	1195	132
900	1196	131
901	1197	130
902	1198	128
903	1199	127
904	1201	126
905	1202	124
906	1204	123
